Finals,PAge,R/G,W,L,W-L%,ERA,RA9,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W
LG Twins,27.8,3.62,87,55,0.613,3.33,3.64,144,144,144,0,16,43,1288,1179,521,476,94,451,27,1031,59,0,49,5432,1.266,8.2,0.7,3.2,7.2,2.29
KT Wiz,27.5,3.9,80,62,0.563,3.51,3.93,144,144,143,1,8,37,1287.1,1243,562,502,92,364,22,1074,63,3,43,5405,1.248,8.7,0.6,2.5,7.5,2.95
Kiwoom Heroes,26.9,4.24,80,62,0.563,3.79,4.24,144,144,142,2,19,48,1296.1,1247,610,546,96,490,18,1010,70,1,51,5579,1.34,8.7,0.7,3.4,7,2.06
SSG Landers,29.4,4.32,88,52,0.629,3.87,4.3,144,144,143,1,10,45,1301.1,1223,622,560,130,457,18,1023,65,2,75,5533,1.291,8.5,0.9,3.2,7.1,2.24
NC Dinos,26.7,4.46,67,74,0.475,3.9,4.49,144,144,144,0,11,25,1286.2,1230,642,557,111,515,10,1168,98,5,80,5604,1.356,8.6,0.8,3.6,8.2,2.27
Kia Tigers,27.4,4.72,70,73,0.49,4.2,4.78,144,144,144,0,7,38,1279.2,1286,679,597,120,526,20,1042,67,2,56,5636,1.416,9,0.8,3.7,7.3,1.98
Samsung Lions,28.7,4.83,66,76,0.465,4.29,4.86,144,144,143,1,6,34,1287,1370,695,613,129,478,22,971,66,3,47,5678,1.436,9.6,0.9,3.3,6.8,2.03
Lotte Giants,26.5,4.94,64,76,0.457,4.45,5,144,144,144,0,13,34,1280.2,1373,712,633,84,492,21,1199,80,1,72,5686,1.456,9.6,0.6,3.5,8.4,2.44
Doosan Bears,27.1,5.01,60,82,0.423,4.45,5.07,144,144,144,0,7,32,1279.1,1336,721,632,117,555,11,977,70,5,69,5700,1.478,9.4,0.8,3.9,6.9,1.76
Hanwha Eagles,27.6,5.27,46,96,0.324,4.83,5.39,144,144,143,1,9,25,1268.1,1314,759,680,112,602,39,974,83,4,65,5710,1.511,9.3,0.8,4.3,6.9,1.62
