Finals,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB
Nexen Heroes,27.3,6.28,144,5811,5069,904,1512,304,20,203,855,100,47,544,1098,0.298,0.372,0.486,0.858,2465,112,82,61,55,18
Samsung Lions,29.1,6.23,144,5803,5019,897,1515,259,25,176,850,157,52,581,930,0.302,0.378,0.469,0.847,2352,109,70,76,57,21
NC Dinos,28.9,5.86,144,5726,4967,844,1437,283,28,161,802,204,60,536,1023,0.289,0.367,0.455,0.822,2259,105,106,64,53,25
Doosan Bears,27.7,5.6,144,5758,4957,807,1436,254,22,140,770,111,47,567,820,0.29,0.37,0.435,0.804,2154,139,99,75,60,24
Lotte Giants,28.7,5.31,144,5680,4972,765,1393,254,19,177,727,104,50,532,1186,0.28,0.356,0.446,0.802,2216,136,68,80,28,22
Hanwha Eagles,30.1,4.98,144,5716,4852,717,1316,218,19,130,667,80,47,581,1135,0.271,0.36,0.404,0.764,1962,112,109,139,35,33
SSD Landers,29.6,4.81,144,5588,4861,693,1323,214,10,145,656,94,59,490,1047,0.272,0.349,0.41,0.759,1992,113,98,110,29,13
KT Wiz,28.9,4.65,144,5604,4927,670,1344,221,15,129,633,124,52,507,1112,0.273,0.345,0.402,0.748,1982,118,58,75,37,21
LG Twins,28.8,4.53,144,5599,4941,653,1331,252,22,114,601,113,62,462,1076,0.269,0.339,0.399,0.738,1969,98,80,75,41,18
Kia Tigers,29.4,4.5,144,5454,4777,648,1197,223,22,136,602,115,50,454,1126,0.251,0.326,0.392,0.718,1872,105,101,79,43,16
