Finals,PAge,R/G,W,L,W-L%,ERA,RA9,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W
NC Dinos,27.9,4.55,84,57,0.596,4.26,4.61,144,144,143,1,11,37,1279.1,1283,655,605,149,436,13,1057,113,3,60,5536,1.344,9,1,3.1,7.4,2.42
Samsung Lions,30.3,4.97,88,56,0.611,4.69,5.05,144,144,140,4,7,34,1275.1,1323,716,665,182,423,11,1194,64,2,44,5523,1.369,9.3,1.3,3,8.4,2.82
LG Twins,28.9,5.01,64,78,0.451,4.62,5.07,144,144,141,3,5,25,1279.2,1352,721,657,125,490,30,1063,98,3,82,5599,1.439,9.5,0.9,3.4,7.5,2.17
SSG Landers,28.3,5.03,69,73,0.486,4.71,5.09,144,144,141,3,7,31,1280.2,1358,724,670,153,517,31,1149,70,4,71,5646,1.464,9.5,1.1,3.6,8.1,2.22
Kia Tigers,28.4,5.13,67,77,0.465,4.79,5.22,144,144,143,1,10,32,1273,1371,739,678,143,572,22,979,98,4,80,5673,1.526,9.7,1,4,6.9,1.71
Doosan Bears,27.9,5.39,79,65,0.549,5.02,5.43,144,144,141,3,10,30,1286,1385,776,718,138,584,15,1064,77,11,72,5762,1.531,9.7,1,4.1,7.4,1.82
Nexen Heroes,27.5,5.49,78,65,0.545,4.91,5.53,144,144,143,1,7,29,1286,1404,790,701,146,518,8,1066,81,4,85,5709,1.495,9.8,1,3.6,7.5,2.06
Hanwha Eagles,30.4,5.56,68,76,0.472,5.11,5.63,144,144,139,5,7,32,1279.2,1349,800,727,157,648,38,920,96,9,85,5771,1.561,9.5,1.1,4.6,6.5,1.42
Lotte Giants,30.3,5.57,66,77,0.462,5.07,5.63,144,144,141,3,5,19,1281.1,1461,802,722,164,489,26,1015,87,3,89,5724,1.522,10.3,1.2,3.4,7.1,2.08
KT Wiz,25.9,6.08,52,91,0.364,5.56,6.22,144,144,141,3,3,16,1266.2,1518,875,782,154,577,17,1046,87,4,86,5799,1.654,10.8,1.1,4.1,7.4,1.81
