Finals,PAge,R/G,W,L,W-L%,ERA,RA9,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W
LG Twins,28.7,4.7,69,72,0.489,4.3,4.76,144,144,140,4,6,32,1279,1305,677,611,124,379,31,1040,102,3,81,5507,1.317,9.2,0.9,2.7,7.3,2.74
Doosan Bears,29.4,4.71,84,57,0.596,4.38,4.74,144,144,141,3,9,35,1288,1405,678,627,125,464,11,956,87,4,54,5682,1.451,9.8,0.9,3.2,6.7,2.06
Lotte Giants,28.9,4.87,80,62,0.563,4.56,4.9,144,144,143,1,10,39,1287.1,1357,701,652,162,477,25,1096,79,7,67,5634,1.425,9.5,1.1,3.3,7.7,2.3
Kia Tigers,28.1,5.16,87,56,0.608,4.79,5.18,144,144,139,5,5,33,1290,1518,743,687,137,434,22,985,77,4,69,5748,1.513,10.6,1,3,6.9,2.27
NC Dinos,27.1,5.17,79,62,0.56,4.71,5.22,144,144,143,1,10,32,1284.2,1342,745,673,169,470,12,1097,93,3,93,5640,1.41,9.4,1.2,3.3,7.7,2.33
Nexen Heroes,27.7,5.31,69,73,0.486,5.03,5.41,144,144,142,2,5,40,1271,1488,764,710,149,388,10,1005,97,3,56,5663,1.476,10.5,1.1,2.7,7.1,2.59
SSG Landers,29,5.33,75,68,0.524,5.02,5.43,144,144,142,2,4,30,1270.2,1443,767,709,154,481,35,940,105,7,61,5692,1.514,10.2,1.1,3.4,6.7,1.95
Hanwha Eagles,31.2,5.69,61,81,0.43,5.28,5.8,144,144,143,1,5,31,1273,1474,820,747,166,446,13,914,100,4,77,5698,1.508,10.4,1.2,3.2,6.5,2.05
KT Wiz,25.5,6.08,50,94,0.347,5.75,6.28,144,144,140,4,7,22,1256,1524,876,803,174,433,11,913,95,6,77,5702,1.558,10.9,1.2,3.1,6.5,2.11
Samsung Lions,28.5,6.33,55,84,0.396,5.88,6.4,144,144,143,1,3,27,1281.1,1541,911,837,187,548,15,1063,118,4,74,5916,1.63,10.8,1.3,3.8,7.5,1.94
