Finals,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB
Kiwoom Heroes,26.5,5.42,144,5658,4991,780,1405,251,38,112,741,110,33,514,943,0.282,0.354,0.414,0.768,2068,122,69,36,48,13
Doosan Bears,29.5,5.11,144,5670,4913,736,1364,235,31,84,691,102,38,563,799,0.278,0.355,0.389,0.744,1913,117,72,39,83,16
NC Dinos,28.7,4.68,144,5631,4968,674,1383,249,26,128,639,87,45,456,880,0.278,0.345,0.416,0.762,2068,126,83,64,60,14
SSG Landers,30.8,4.55,144,5541,4919,655,1290,218,14,117,622,118,50,462,966,0.262,0.334,0.384,0.718,1887,92,87,35,38,20
KT Wiz,28.2,4.51,144,5582,4965,650,1375,187,20,103,615,104,44,475,975,0.277,0.344,0.385,0.728,1911,113,52,45,45,15
LG Twins,29.5,4.45,144,5536,4928,641,1316,233,15,94,604,108,47,434,962,0.267,0.333,0.378,0.711,1861,117,77,49,48,17
Samsung Lions,28.8,4.32,144,5533,4866,622,1245,230,26,122,598,107,42,478,976,0.256,0.329,0.389,0.718,1893,107,78,58,53,15
Hanwha Eagles,28.9,4.22,144,5482,4882,607,1250,223,16,88,562,105,51,441,1090,0.256,0.324,0.362,0.686,1769,112,70,44,45,12
Kia Tigers,28.1,4.2,144,5505,4874,605,1286,248,19,76,567,87,42,497,919,0.264,0.336,0.369,0.706,1800,108,58,31,45,13
Lotte Giants,29.3,4.01,144,5488,4919,578,1231,214,22,90,545,65,31,429,1085,0.25,0.316,0.358,0.674,1759,108,65,35,40,12
