Finals,PAge,R/G,W,L,W-L%,ERA,RA9,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W
LG Twins,26.3,3.9,72,58,0.554,3.57,3.97,144,144,144,0,18,32,1272.1,1126,561,505,80,545,18,1068,98,5,43,5453,1.313,8,0.6,3.9,7.6,1.96
KT Wiz,28.4,4.06,76,59,0.563,3.67,4.16,144,144,142,2,6,33,1264,1176,584,515,86,489,18,1062,42,1,56,5397,1.317,8.4,0.6,3.5,7.6,2.17
Doosan Bears,27.5,4.56,71,65,0.522,4.26,4.65,144,144,142,2,10,28,1269.1,1295,656,601,104,587,16,1045,73,7,52,5631,1.483,9.2,0.7,4.2,7.4,1.78
Samsung Lions,28.8,4.57,76,59,0.563,4.3,4.7,144,144,142,2,14,46,1259,1297,658,601,131,530,13,1038,51,3,58,5536,1.451,9.3,0.9,3.8,7.4,1.96
NC Dinos,27.6,4.84,67,68,0.496,4.54,4.99,144,144,141,3,10,33,1256.2,1268,697,634,125,592,14,1055,77,8,75,5622,1.48,9.1,0.9,4.2,7.6,1.78
Kiwoom Heroes,25.8,4.86,70,67,0.511,4.31,4.99,144,144,143,1,7,30,1263.1,1281,700,605,101,566,27,900,80,4,59,5599,1.462,9.1,0.7,4,6.4,1.59
Hanwha Eagles,27,5.13,49,83,0.371,4.65,5.28,144,144,143,1,6,21,1258.2,1208,739,650,115,673,23,1011,101,11,56,5672,1.494,8.6,0.8,4.8,7.2,1.5
SSG Landers,27.3,5.15,66,64,0.508,4.82,5.22,144,144,144,0,5,25,1276.2,1296,741,684,149,629,27,1012,78,9,41,5706,1.508,9.1,1.1,4.4,7.1,1.61
Kia Tigers,25.3,5.22,58,76,0.433,4.89,5.33,144,144,143,1,6,36,1269,1286,752,690,134,622,5,951,104,9,59,5701,1.504,9.1,1,4.4,6.7,1.53
Lotte Giants,27.1,5.61,65,71,0.478,5.37,5.72,144,144,143,1,12,37,1271,1333,808,758,133,659,19,1054,87,5,102,5759,1.567,9.4,0.9,4.7,7.5,1.6
