Finals,PAge,R/G,W,L,W-L%,ERA,RA9,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W
Kiwoom Heroes,26.4,4.81,80,63,0.559,4.39,4.86,144,144,144,0,6,42,1280.1,1336,692,624,126,446,16,950,73,7,51,5556,1.392,9.4,0.9,3.1,6.7,2.13
LG Twins,27.4,4.82,79,61,0.564,4.37,4.83,144,144,142,2,13,29,1292.2,1344,694,627,123,493,12,1019,86,4,49,5655,1.421,9.4,0.9,3.4,7.1,2.07
Doosan Bears,26.7,4.83,79,61,0.564,4.31,4.87,144,144,143,1,13,23,1285.2,1395,695,616,109,478,22,1046,61,4,52,5681,1.457,9.8,0.8,3.3,7.3,2.19
NC Dinos,27.5,4.96,83,55,0.601,4.58,4.96,144,144,144,0,7,31,1296.2,1292,714,660,153,547,10,1049,79,7,65,5690,1.418,9,1.1,3.8,7.3,1.92
KT Wiz,27.5,4.97,81,62,0.566,4.54,4.99,144,144,144,0,5,33,1290.1,1357,715,651,118,523,20,848,59,1,75,5680,1.457,9.5,0.8,3.6,5.9,1.62
Lotte Giants,28.8,5,71,72,0.497,4.64,5.07,144,144,143,1,16,25,1277.1,1351,720,659,143,447,25,1002,58,4,62,5583,1.408,9.5,1,3.1,7.1,2.24
Samsung Lions,27.6,5.17,64,75,0.46,4.78,5.27,144,144,141,3,11,25,1272.1,1330,745,676,151,542,16,931,67,5,55,5634,1.471,9.4,1.1,3.8,6.6,1.72
Kia Tigers,27.3,5.52,73,71,0.507,5.13,5.63,144,144,143,1,5,33,1270,1399,795,724,120,559,8,1038,70,4,78,5681,1.542,9.9,0.9,4,7.4,1.86
Hanwha Eagles,27.2,5.69,46,95,0.326,5.28,5.83,144,144,143,1,6,21,1265,1400,820,742,158,609,22,1019,79,5,76,5756,1.588,10,1.1,4.3,7.2,1.67
SSG Landers,27.4,5.88,51,92,0.357,5.57,6.05,144,144,143,1,3,20,1259.1,1343,846,780,162,670,12,953,84,5,85,5727,1.598,9.6,1.2,4.8,6.8,1.42
