Finals,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB
NC Dinos,29.6,6.17,144,5832,5102,888,1483,258,28,187,845,101,38,529,997,0.291,0.366,0.462,0.828,2358,106,104,46,51,21
Doosan Bears,30.1,5.67,144,5776,5046,816,1477,263,20,125,778,88,37,551,796,0.293,0.365,0.427,0.792,2155,132,68,38,73,20
KT Wiz,28.5,5.65,144,5762,5047,813,1432,238,21,163,767,106,50,554,1097,0.284,0.358,0.436,0.794,2201,104,52,64,45,20
LG Twins,29.5,5.57,144,5681,4999,802,1384,253,29,149,760,83,39,509,969,0.277,0.349,0.429,0.778,2142,115,75,49,49,21
Kiwoom Heroes,26.7,5.27,144,5721,4945,759,1332,254,25,127,713,113,27,608,1030,0.269,0.355,0.408,0.762,2017,107,73,43,52,16
Lotte Giants,29.9,5.21,144,5669,4958,750,1366,252,6,131,711,90,31,569,875,0.276,0.354,0.408,0.762,2023,148,55,39,48,18
Kia Tigers,28.8,5.03,144,5642,4937,724,1355,224,13,130,692,47,25,535,957,0.275,0.351,0.404,0.755,1995,114,69,63,38,10
Samsung Lions,28.2,4.85,144,5574,4923,699,1317,211,12,129,658,132,49,486,990,0.268,0.338,0.394,0.732,1939,117,62,50,53,10
SSG Landers,29.5,4.4,144,5502,4839,634,1212,177,17,143,595,81,45,511,981,0.251,0.329,0.383,0.711,1852,112,69,49,34,18
Hanwha Eagles,28.7,3.83,144,5483,4862,551,1189,195,12,79,523,51,36,462,1163,0.245,0.32,0.338,0.658,1645,119,89,45,25,9
