Finals,PAge,R/G,W,L,W-L%,ERA,RA9,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W
SSG Landers,29.2,5.06,78,65,0.545,4.67,5.15,144,144,144,0,7,29,1274.2,1353,729,662,189,425,15,1130,74,2,62,5563,1.395,9.6,1.3,3,8,2.66
Doosan Bears,27.7,5.25,93,51,0.646,4.98,5.28,144,144,143,1,9,41,1288.2,1401,756,713,154,476,17,1025,109,2,72,5700,1.457,9.8,1.1,3.3,7.2,2.15
Hanwha Eagles,27.7,5.28,77,67,0.535,4.93,5.38,144,144,144,0,5,37,1274,1394,761,698,164,472,9,1124,89,7,78,5637,1.465,9.8,1.2,3.3,7.9,2.38
Nexen Heroes,27.1,5.42,75,69,0.521,5.08,5.48,144,144,140,4,2,32,1282,1442,780,723,178,416,13,1021,98,4,59,5646,1.449,10.1,1.2,2.9,7.2,2.45
Samsung Lions,28.7,5.57,68,72,0.486,5.19,5.62,144,144,144,0,5,33,1285.1,1477,802,741,185,441,10,1114,107,5,45,5740,1.492,10.3,1.3,3.1,7.8,2.53
LG Twins,27.7,5.67,68,75,0.476,5.29,5.79,144,144,141,3,7,29,1268.2,1434,816,746,159,453,13,1058,89,4,72,5677,1.487,10.2,1.1,3.2,7.5,2.34
Kia Tigers,28.1,5.74,70,74,0.486,5.4,5.85,144,144,140,4,5,26,1270.2,1511,826,763,181,445,28,1017,69,3,65,5708,1.539,10.7,1.3,3.2,7.2,2.29
KT Wiz,27.9,5.79,59,82,0.418,5.34,5.89,144,144,140,4,5,24,1274.1,1580,834,756,194,409,25,1025,84,1,63,5743,1.561,11.2,1.4,2.9,7.2,2.51
NC Dinos,26.4,5.86,58,85,0.406,5.48,6.01,144,144,143,1,4,24,1264,1443,844,769,186,537,17,1010,68,6,92,5701,1.566,10.3,1.3,3.8,7.2,1.88
Lotte Giants,30.4,5.88,68,74,0.479,5.37,5.93,144,144,144,0,6,29,1283.2,1410,846,766,166,548,23,1164,73,7,65,5788,1.525,9.9,1.2,3.8,8.2,2.12
