Finals,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB
Doosan Bears,28.6,6.56,144,5870,5176,944,1601,284,30,191,898,96,23,496,1016,0.309,0.376,0.487,0.862,2518,112,92,43,63,16
Kia Tigers,30.3,6.01,144,5744,5036,865,1487,258,22,170,823,88,37,503,905,0.295,0.367,0.457,0.824,2299,135,99,56,50,27
SSG Landers,29.7,5.76,144,5682,4992,829,1403,234,13,233,791,108,39,483,1079,0.281,0.356,0.473,0.83,2362,103,119,54,34,6
Nexen Heroes,25.8,5.73,144,5780,5141,825,1481,288,19,165,787,101,33,472,1208,0.288,0.355,0.448,0.802,2302,93,85,32,50,25
Lotte Giants,30.1,5.7,144,5764,5130,821,1484,289,17,203,792,68,32,471,1157,0.289,0.356,0.471,0.827,2416,124,81,45,37,22
LG Twins,29.2,5.47,144,5665,5070,788,1487,299,12,148,740,71,38,418,1001,0.293,0.353,0.445,0.797,2254,125,75,51,51,14
Samsung Lions,29.8,5.39,144,5766,5109,776,1471,241,29,146,732,116,52,468,1034,0.288,0.355,0.432,0.787,2208,115,87,57,45,14
KT Wiz,29,5.26,144,5605,5026,757,1382,264,13,206,721,80,57,464,1109,0.275,0.34,0.456,0.796,2290,103,46,43,26,14
Hanwha Eagles,29.2,5.06,144,5539,4972,729,1369,249,14,151,668,118,64,420,1098,0.275,0.341,0.422,0.763,2099,113,88,31,28,17
NC Dinos,28.4,4.58,144,5488,4895,660,1280,233,18,143,629,82,35,427,1081,0.262,0.329,0.404,0.733,1978,115,88,35,43,15
