Finals,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB
Doosan Bears,27.7,6.49,144,5841,5044,935,1504,284,25,183,877,85,45,600,884,0.298,0.378,0.473,0.851,2387,121,86,43,68,11
NC Dinos,29.5,5.95,144,5831,5007,857,1457,249,19,169,808,99,41,609,1023,0.291,0.375,0.45,0.824,2251,133,93,70,52,18
Samsung Lions,29.7,5.92,144,5863,5093,852,1492,249,34,142,792,104,50,552,864,0.293,0.367,0.439,0.806,2235,119,75,88,55,15
Hanwha Eagles,30.4,5.74,144,5838,5109,826,1478,242,27,142,787,64,38,510,1025,0.289,0.362,0.431,0.792,2200,123,91,87,41,19
Nexen Heroes,27.2,5.65,144,5702,4990,813,1464,254,39,134,765,154,83,556,956,0.293,0.368,0.441,0.808,2198,121,63,34,59,17
Kia Tigers,29.3,5.58,144,5696,4999,803,1429,264,28,170,754,101,50,499,997,0.286,0.358,0.452,0.81,2259,109,87,66,45,12
LG Twins,29,5.46,144,5765,5051,786,1464,238,26,118,744,121,70,523,982,0.29,0.361,0.417,0.779,2108,92,72,65,54,10
Lotte Giants,29,5.4,144,5783,5001,777,1439,252,20,127,732,145,64,596,1061,0.288,0.37,0.422,0.793,2112,120,83,62,41,18
SSG Landers,29.1,5.23,144,5672,5023,753,1464,234,19,182,715,89,60,429,1018,0.292,0.356,0.454,0.811,2282,104,102,71,47,13
KT Wiz,29.9,4.67,144,5620,4963,672,1369,214,11,116,639,96,46,499,933,0.276,0.345,0.394,0.738,1953,130,48,65,45,7
