Finals,PAge,R/G,W,L,W-L%,ERA,RA9,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W
Doosan Bears,29.1,4.74,93,50,0.65,4.45,4.77,144,144,142,2,7,36,1287.2,1385,682,636,136,498,7,982,77,4,66,5658,1.462,9.7,1,3.5,6.9,1.97
NC Dinos,26.2,4.79,83,58,0.589,4.48,4.83,144,144,144,0,10,36,1286.1,1314,690,640,137,516,2,1147,86,7,84,5643,1.423,9.2,1,3.6,8,2.22
Nexen Heroes,27.6,5.26,77,66,0.538,4.96,5.32,144,144,144,0,4,38,1280.1,1487,757,705,152,435,3,895,68,3,50,5684,1.501,10.5,1.1,3.1,6.3,2.06
SSG Landers,28.5,5.44,69,75,0.479,4.87,5.54,144,144,143,1,5,31,1274,1386,784,689,151,527,18,945,76,7,65,5659,1.502,9.8,1.1,3.7,6.7,1.79
Kia Tigers,28.1,5.45,70,73,0.49,4.97,5.54,144,144,137,7,5,38,1276,1456,785,705,131,561,18,965,59,7,69,5771,1.581,10.3,0.9,4,6.8,1.72
LG Twins,28.9,5.6,71,71,0.5,5.04,5.64,144,144,142,2,5,34,1287.2,1426,807,721,122,539,27,909,109,1,84,5782,1.526,10,0.9,3.8,6.4,1.69
Lotte Giants,28.4,6.01,66,78,0.458,5.63,6.15,144,144,142,2,5,27,1266.1,1486,865,792,161,585,27,1009,78,5,82,5785,1.635,10.6,1.1,4.2,7.2,1.72
Samsung Lions,28.8,6.03,65,78,0.455,5.64,6.1,144,144,142,2,4,34,1282.1,1507,869,804,193,518,6,935,87,8,52,5799,1.579,10.6,1.4,3.6,6.6,1.81
Hanwha Eagles,30.5,6.31,66,75,0.468,5.76,6.32,144,144,143,1,2,24,1292.2,1520,908,827,155,634,23,976,76,6,72,5937,1.666,10.6,1.1,4.4,6.8,1.54
KT Wiz,25.4,6.44,53,89,0.373,5.92,6.55,144,144,143,1,2,27,1273,1593,927,838,145,560,9,980,84,9,77,5896,1.691,11.3,1,4,6.9,1.75
